Linux 5.15.0-186-generic (lenovo) 	08/27/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:15:15 PM  1002    103365   63.00    4.00    0.00    0.00   67.00    14  15078.00      0.00 9182420  810872   2.50  python3
08:15:15 PM  1002    103511    4.00    1.00    0.00    0.00    5.00     2   1995.00      0.00 2072140  170508   0.53  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:15:16 PM  1002    103365   77.00    2.00    0.00    0.00   79.00    14  15318.00      0.00 9182420  810520   2.50  python3
08:15:16 PM  1002    103511    1.00    1.00    0.00    0.00    2.00     2   1995.00      0.00 2072140  170508   0.53  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:15:17 PM  1002    103365   72.00    8.00    0.00    0.00   80.00     2  19604.00      0.00 9183076  811576   2.50  python3
08:15:17 PM  1002    103511    3.00    2.00    0.00    0.00    5.00     4   1995.00      0.00 2072140  170508   0.53  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:15:18 PM  1002    103365   40.00    2.00    0.00    0.00   42.00     2   9627.00      0.00 9179168  807800   2.49  python3
08:15:18 PM  1002    103511    2.00    1.00    0.00    0.00    3.00    14   1995.00      0.00 2072140  170508   0.53  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:15:19 PM  1002    103365   49.00    8.00    0.00    0.00   57.00     2  15539.00      0.00 9182420  811020   2.50  python3
08:15:19 PM  1002    103511    2.00    2.00    0.00    0.00    4.00    12   1995.00      0.00 2072140  170508   0.53  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:15:20 PM  1002    103365   73.00    4.00    0.00    0.00   77.00     4  15077.00      0.00 9179168  807580   2.49  python3
08:15:20 PM  1002    103511    2.00    1.00    0.00    0.00    3.00    14   1995.00      0.00 2072140  170508   0.53  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:15:21 PM  1002    103365   60.00    3.00    0.00    0.00   63.00     4  15948.00      0.00 9182420  811212   2.50  python3
08:15:21 PM  1002    103511    2.00    2.00    0.00    0.00    4.00     0   1995.00      0.00 2072140  170508   0.53  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:15:22 PM  1002    103365   50.00    3.00    0.00    0.00   53.00     4  16155.00      0.00 9182392  810720   2.50  python3
08:15:22 PM  1002    103511    4.00    0.00    0.00    0.00    4.00    14   1995.00      0.00 2072140  170508   0.53  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08:15:23 PM  1002    103365   37.00    3.00    0.00    0.00   40.00     4   9840.00      0.00 9179168  807664   2.49  python3
08:15:23 PM  1002    103511    2.00    1.00    0.00    0.00    3.00     0   1995.00      0.00 2072140  170508   0.53  python3
