time_s,raw_score_array
20.899148,"[1.0, 0.8711193799972534, 1.0, 37.508670806884766, -56.491329193115234, 1.0, 0.3555968701839447, 1.0, 2.0, 0.8810884356498718, 1.0, 39.08621597290039, -54.91378402709961, 1.0, 0.4054422974586487, 1.0, 3.0, 0.8809980750083923, 1.0, 32.45940017700195, -61.54059982299805, 1.0, 0.4049905240535736, 1.0]"
22.899196,"[1.0, 0.870284914970398, 1.0, 42.47647476196289, -51.52352523803711, 1.0, 0.3514244854450226, 1.0, 2.0, 0.8810566067695618, 1.0, 33.5725212097168, -60.4274787902832, 1.0, 0.4052831530570984, 1.0, 3.0, 0.8812084197998047, 1.0, 34.26812744140625, -59.73187255859375, 1.0, 0.4060420095920563, 1.0]"
24.899155,"[1.0, 0.8709846138954163, 1.0, 39.812950134277344, -54.187049865722656, 1.0, 0.35492318868637085, 1.0, 2.0, 0.8810549974441528, 1.0, 32.95237350463867, -61.04762649536133, 1.0, 0.4052751362323761, 1.0, 3.0, 0.8640817403793335, 1.0, 28.2647762298584, -65.73522186279297, 1.0, 0.40717002749443054, 1.0]"
26.899127,"[1.0, 0.8704880475997925, 1.0, 39.064720153808594, -54.935279846191406, 1.0, 0.35244032740592957, 1.0, 2.0, 0.880450427532196, 1.0, 31.391033172607422, -62.60896682739258, 1.0, 0.4022522270679474, 1.0, 3.0, 0.8805106282234192, 1.0, 30.553417205810547, -63.44658279418945, 1.0, 0.4025530517101288, 1.0]"
28.899321,"[1.0, 0.8707144856452942, 1.0, 40.36849594116211, -53.63150405883789, 1.0, 0.35357242822647095, 1.0, 2.0, 0.628959059715271, 1.0, 6.7692036628723145, -87.23079681396484, 1.0, 0.40103355050086975, 0.8106028437614441, 3.0, 0.8800284266471863, 1.0, 31.994203567504883, -62.00579833984375, 1.0, 0.4001420736312866, 1.0]"
30.899143,"[1.0, 0.9445459842681885, 1.0, 42.57939529418945, -51.42060470581055, 0.9959914088249207, 0.728742778301239, 1.0, 2.0, 0.7519907355308533, 1.0, 12.285432815551758, -81.71456909179688, 1.0, 0.7432823777198792, 0.8047992587089539, 3.0, 0.9486479759216309, 1.0, 32.2655029296875, -61.7344970703125, 0.9959914088249207, 0.7492527365684509, 1.0]"
32.899041,"[1.0, 0.9742046594619751, 1.0, 42.361717224121094, -51.638282775878906, 1.0, 0.8710232377052307, 1.0, 2.0, 0.7601037621498108, 1.0, 10.448905944824219, -83.55109405517578, 1.0, 0.8707753419876099, 0.8145964741706848, 3.0, 0.9619800448417664, 1.0, 28.411605834960938, -65.58839416503906, 1.0, 0.8893198370933533, 1.0]"
34.899261,"[1.0, 0.9623422622680664, 1.0, 38.618160247802734, -55.381839752197266, 1.0, 0.8117112517356873, 1.0, 2.0, 0.8005545139312744, 1.0, 15.637614250183105, -78.36238861083984, 1.0, 0.812350332736969, 0.8170830011367798, 3.0, 0.9561445116996765, 1.0, 29.422876358032227, -64.5771255493164, 1.0, 0.8095787167549133, 1.0]"
36.899127,"[1.0, 0.9087170958518982, 1.0, 38.175025939941406, -55.824974060058594, 1.0, 0.5435853600502014, 1.0, 2.0, 0.6847043633460999, 1.0, 8.508970260620117, -85.49102783203125, 1.0, 0.5928164124488831, 0.8105137348175049, 3.0, 0.8904765248298645, 1.0, 35.46455764770508, -58.53544235229492, 1.0, 0.45238274335861206, 1.0]"
38.899098,"[1.0, 0.9173634052276611, 1.0, 39.324005126953125, -54.675994873046875, 1.0, 0.5868170261383057, 1.0, 2.0, 0.7459275126457214, 1.0, 14.829906463623047, -79.17009735107422, 1.0, 0.5714756846427917, 0.8333333134651184, 3.0, 0.8773419260978699, 1.0, 33.63884353637695, -60.36115646362305, 1.0, 0.3867094814777374, 1.0]"
40.899081,"[1.0, 0.9383218884468079, 1.0, 35.550716400146484, -58.449283599853516, 1.0, 0.6916093230247498, 1.0, 2.0, 0.7338706254959106, 1.0, 12.881612777709961, -81.1183853149414, 0.9948309659957886, 0.6163594722747803, 0.8333333134651184, 3.0, 0.8958770632743835, 1.0, 28.636220932006836, -65.36377716064453, 0.9948309659957886, 0.6016116738319397, 0.9074320793151855]"
42.899037,"[1.0, 0.9663981199264526, 1.0, 38.98698043823242, -55.01301956176758, 1.0, 0.8319905996322632, 1.0, 2.0, 0.7596136331558228, 1.0, 12.815579414367676, -81.18441772460938, 1.0, 0.7406225204467773, 0.8333333134651184, 3.0, 0.7513224482536316, 1.0, 9.671006202697754, -84.32899475097656, 1.0, 0.8206466436386108, 0.9048307538032532]"
44.899088,"[1.0, 0.9472647309303284, 1.0, 38.2153434753418, -55.7846565246582, 1.0, 0.7363235354423523, 1.0, 2.0, 0.7351565361022949, 1.0, 10.791382789611816, -83.2086181640625, 0.9976614713668823, 0.7230545282363892, 0.8333333134651184, 3.0, 0.8085097670555115, 1.0, 20.450008392333984, -73.54999542236328, 0.9976614713668823, 0.573444128036499, 0.9002239108085632]"
46.899095,"[1.0, 0.8893401622772217, 1.0, 35.28623962402344, -58.71376037597656, 1.0, 0.44670093059539795, 1.0, 2.0, 0.7537935972213745, 1.0, 18.28424072265625, -75.71575927734375, 1.0, 0.43808943033218384, 0.8333333134651184, 3.0, 0.8214340806007385, 1.0, 25.857437133789062, -68.14256286621094, 1.0, 0.36810728907585144, 0.8923824429512024]"
48.898988,"[1.0, 0.8777374029159546, 1.0, 35.050880432128906, -58.949119567871094, 1.0, 0.3886870741844177, 1.0, 2.0, 0.6743227243423462, 1.0, 10.548303604125977, -83.45169830322266, 1.0, 0.42753177881240845, 0.8333333134651184, 3.0, 0.7916573882102966, 1.0, 21.491191864013672, -72.50880432128906, 1.0, 0.4371735155582428, 0.8931078910827637]"
50.899040,"[1.0, 0.9421367049217224, 1.0, 32.46883773803711, -61.53116226196289, 1.0, 0.7106834650039673, 1.0, 2.0, 0.849263072013855, 1.0, 21.92674446105957, -72.07325744628906, 1.0, 0.7333115935325623, 0.8333333134651184, 3.0, 0.8331954479217529, 1.0, 19.624530792236328, -74.3754653930664, 1.0, 0.7379662394523621, 0.893568754196167]"
52.899011,"[1.0, 0.9654873013496399, 1.0, 37.5892219543457, -56.4107780456543, 1.0, 0.8274365067481995, 1.0, 2.0, 0.8309159874916077, 1.0, 17.20494270324707, -76.79505920410156, 0.9918889403343201, 0.8898325562477112, 0.8333333134651184, 3.0, 0.8902056813240051, 1.0, 22.275100708007812, -71.72489929199219, 0.9918889403343201, 0.9025830030441284, 0.8937138915061951]"
54.899122,"[1.0, 0.8803455829620361, 1.0, 39.494022369384766, -54.505977630615234, 1.0, 0.4017277956008911, 1.0, 2.0, 0.7846820950508118, 1.0, 18.834793090820312, -75.16520690917969, 1.0, 0.5650039911270142, 0.8333333134651184, 3.0, 0.8739503622055054, 1.0, 28.97564697265625, -65.02435302734375, 1.0, 0.47412601113319397, 0.8936870098114014]"
56.899086,"[1.0, 0.9088961482048035, 1.0, 33.128753662109375, -60.871246337890625, 1.0, 0.5444808602333069, 1.0, 2.0, 0.8386530876159668, 1.0, 22.53110694885254, -71.4688949584961, 1.0, 0.6500434279441833, 0.8333333134651184, 3.0, 0.8278840184211731, 1.0, 23.170087814331055, -70.82991027832031, 1.0, 0.5319948792457581, 0.8978414535522461]"
58.899095,"[1.0, 0.8978087902069092, 1.0, 42.22113037109375, -51.77886962890625, 1.0, 0.48904407024383545, 1.0, 2.0, 0.6266788244247437, 1.0, 3.411186456680298, -90.58881378173828, 1.0, 0.5461680889129639, 0.8333333134651184, 3.0, 0.8563646078109741, 1.0, 28.700313568115234, -65.29969024658203, 1.0, 0.34680724143981934, 1.0]"
60.899117,"[1.0, 0.9724435210227966, 1.0, 36.200469970703125, -57.799530029296875, 1.0, 0.8622177243232727, 1.0, 2.0, 0.7793327569961548, 1.0, 12.174235343933105, -81.82576751708984, 1.0, 0.8712853193283081, 0.8333333134651184, 3.0, 0.9592747092247009, 1.0, 31.5032958984375, -62.4967041015625, 1.0, 0.7963734865188599, 1.0]"
62.899234,"[1.0, 0.9002752304077148, 1.0, 38.982696533203125, -55.017303466796875, 0.9920555353164673, 0.5132929682731628, 1.0, 2.0, 0.8194499015808105, 1.0, 19.434368133544922, -74.56562805175781, 1.0, 0.7088643908500671, 0.8333333134651184, 3.0, 0.9403461813926697, 1.0, 30.481679916381836, -63.51831817626953, 0.9920555353164673, 0.713647723197937, 1.0]"
64.899280,"[1.0, 0.8789354562759399, 1.0, 38.12642288208008, -55.87357711791992, 1.0, 0.3946773111820221, 1.0, 2.0, 0.6713668704032898, 1.0, 6.444562911987305, -87.55543518066406, 1.0, 0.6179394721984863, 0.8333333134651184, 3.0, 0.9243390560150146, 1.0, 32.53212356567383, -61.46787643432617, 1.0, 0.6216952204704285, 1.0]"
66.899242,"[1.0, 0.9463892579078674, 1.0, 45.47692108154297, -48.52307891845703, 1.0, 0.7319464087486267, 1.0, 2.0, 0.8238471746444702, 1.0, 17.050161361694336, -76.94983673095703, 1.0, 0.8500610589981079, 0.8333333134651184, 3.0, 0.9690980911254883, 1.0, 31.524805068969727, -62.47519302368164, 1.0, 0.8454904556274414, 1.0]"
68.899080,"[1.0, 0.9690409302711487, 1.0, 42.913604736328125, -51.086395263671875, 1.0, 0.8452046513557434, 1.0, 2.0, 0.7872053384780884, 1.0, 12.270827293395996, -81.72917175292969, 1.0, 0.90581876039505, 0.8333333134651184, 3.0, 0.9758074283599854, 1.0, 29.57103157043457, -64.42897033691406, 1.0, 0.9004855155944824, 1.0]"
