point_index,east_m,north_m,nearest_sim_segment_index,nearest_east_m,nearest_north_m,real_to_sim_path_error_m
40,0.116070771,-8.47914042,19,0.844574478,-8.4791404,0.728503707
41,0.19355939,-8.75560722,20,0.844574482,-8.75560721,0.651015092
42,0.293187615,-9.0431327,22,0.844574486,-9.04313269,0.551386871
43,0.359606432,-9.33065817,22,0.84457449,-9.33065817,0.484968058
44,0.359606433,-9.61818365,22,0.844574494,-9.61818365,0.484968061
45,0.370676239,-9.9167678,22,0.844574498,-9.9167678,0.473898259
46,0.381746044,-10.2264106,24,0.844574503,-10.2264106,0.462828459
47,0.39281585,-10.5471121,25,0.844574507,-10.5471121,0.451758657
48,0.42602526,-10.8456963,25,0.844574511,-10.8456963,0.418549251
49,0.448164868,-11.1442804,26,0.858882473,-10.9449592,0.45652809
50,0.470304477,-11.4318059,26,0.976040258,-11.1863724,0.562144373
51,0.492444084,-11.73039,26,1.09754179,-11.4367362,0.6725889
