time_s,assignment
41.834695,"{""assignments"": [{""gcs_snr_db"": 41.56, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.9931, ""uav_id"": 1}, {""gcs_snr_db"": 16.69, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.8439, ""uav_id"": 2}, {""gcs_snr_db"": 29.07, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.9851, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 11, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
43.834630,"{""assignments"": [{""gcs_snr_db"": 35.66, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.9973, ""uav_id"": 1}, {""gcs_snr_db"": 13.73, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.8169, ""uav_id"": 2}, {""gcs_snr_db"": 32.49, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.9984, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 11, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
45.834517,"{""assignments"": [{""gcs_snr_db"": 42.02, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.9983, ""uav_id"": 1}, {""gcs_snr_db"": 13.46, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.8131, ""uav_id"": 2}, {""gcs_snr_db"": 34.31, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.9981, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 11, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
47.834560,"{""assignments"": [{""gcs_snr_db"": 40.2, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.9964, ""uav_id"": 1}, {""gcs_snr_db"": 4.98, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.7283, ""uav_id"": 2}, {""gcs_snr_db"": 31.12, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.9977, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 11, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
49.834556,"{""assignments"": [{""gcs_snr_db"": 42.18, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.995, ""uav_id"": 1}, {""gcs_snr_db"": 17.15, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.8476, ""uav_id"": 2}, {""gcs_snr_db"": 33.6, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.9964, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 11, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
51.834607,"{""assignments"": [{""gcs_snr_db"": 38.62, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.9978, ""uav_id"": 1}, {""gcs_snr_db"": 12.28, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.8021, ""uav_id"": 2}, {""gcs_snr_db"": 34.11, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.9987, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 11, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
53.834547,"{""assignments"": [{""gcs_snr_db"": 40.57, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.9974, ""uav_id"": 1}, {""gcs_snr_db"": 11.1, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.7886, ""uav_id"": 2}, {""gcs_snr_db"": 30.57, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.9964, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 11, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
55.834636,"{""assignments"": [{""gcs_snr_db"": 39.74, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.9968, ""uav_id"": 1}, {""gcs_snr_db"": 8.79, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.7671, ""uav_id"": 2}, {""gcs_snr_db"": 30.66, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.997, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 11, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
57.834491,"{""assignments"": [{""gcs_snr_db"": 39.91, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.9944, ""uav_id"": 1}, {""gcs_snr_db"": 13.99, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.8168, ""uav_id"": 2}, {""gcs_snr_db"": 24.97, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.9441, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 11, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
59.834645,"{""assignments"": [{""gcs_snr_db"": 38.23, ""parent"": 0, ""role"": ""PRIMARY_CH"", ""route"": [0, 1], ""score"": 0.9985, ""uav_id"": 1}, {""gcs_snr_db"": 11.23, ""parent"": 1, ""role"": ""MEMBER"", ""route"": [0, 1, 2], ""score"": 0.7919, ""uav_id"": 2}, {""gcs_snr_db"": 32.98, ""parent"": 0, ""role"": ""BACKUP_CH"", ""route"": [0, 3], ""score"": 0.9972, ""uav_id"": 3}], ""backup_ch"": 3, ""epoch"": 11, ""num_uavs"": 3, ""primary_ch"": 1, ""status"": ""ACTIVE""}"
