elapsed_s,log_timestamp_unix_s,source_time_boot_ms,seq,sysid,compid,north_x_m,east_y_m,down_z_m,velocity_north_mps,velocity_east_mps,velocity_down_mps
949.119511,1788180544.989017,1057857,62,1,1,-19.33648681640625,1.5026651620864868,-3.172804832458496,-0.030412964522838593,0.021561747416853905,-0.008671174757182598
949.616349,1788180545.485855,1058356,90,1,1,-19.386865615844727,1.5109316110610962,-3.1774539947509766,-0.0306368600577116,0.010682057589292526,-0.007415442261844873
950.161361,1788180546.030867,1058853,119,1,1,-19.4404296875,1.5257129669189453,-3.1830551624298096,-0.0358344241976738,0.011033377610147,-0.006253465544432402
950.613872,1788180546.483378,1059353,147,1,1,-19.502429962158203,1.543837308883667,-3.166922092437744,-0.04204597696661949,0.012517938390374184,-0.002296790713444352
951.111192,1788180546.980698,1059853,176,1,1,-19.55709457397461,1.5510221719741821,-3.151925563812256,-0.040991321206092834,0.005760645028203726,0.0019569529686123133
951.640360,1788180547.509866,1060356,205,1,1,-19.60546112060547,1.5526803731918335,-3.1563990116119385,-0.039696820080280304,0.001380543690174818,0.005326978862285614
952.105299,1788180547.974805,1060853,234,1,1,-19.655303955078125,1.5426958799362183,-3.1609444618225098,-0.04133879393339157,-0.009525096043944359,0.002700478071346879
952.875060,1788180548.744566,1061354,6,1,1,-19.709796905517578,1.525873064994812,-3.1670968532562256,-0.04468758776783943,-0.018649158999323845,0.0003974779974669218
953.303510,1788180549.173016,1061853,38,1,1,-19.762401580810547,1.5165575742721558,-3.174562692642212,-0.04768376797437668,-0.019640548154711723,0.001064929529093206
953.681342,1788180549.550848,1062353,67,1,1,-19.798547744750977,1.4956486225128174,-3.1832823753356934,-0.04049535095691681,-0.029501451179385185,-0.0005212684627622366
954.073277,1788180549.942783,1062858,96,1,1,-19.82073211669922,1.4831801652908325,-3.1761298179626465,-0.028416920453310013,-0.029575590044260025,0.001570780761539936
954.629178,1788180550.498684,1063357,124,1,1,-19.834617614746094,1.4683878421783447,-3.1705336570739746,-0.017694611102342606,-0.0290219746530056,0.00528259901329875
955.095579,1788180550.965085,1063857,153,1,1,-19.850326538085938,1.447189211845398,-3.158930540084839,-0.009592828340828419,-0.034589238464832306,0.008796720765531063
955.675170,1788180551.544676,1064353,181,1,1,-19.871095657348633,1.4373785257339478,-3.1473779678344727,-0.005424510687589645,-0.032888542860746384,0.01103240717202425
956.094796,1788180551.964302,1064856,210,1,1,-19.90005874633789,1.4220463037490845,-3.151437282562256,-0.008388924412429333,-0.03555867075920105,0.007242413237690926
956.642775,1788180552.512281,1065356,238,1,1,-19.93158531188965,1.4267640113830566,-3.1502561569213867,-0.01114511676132679,-0.024671871215105057,0.007442581467330456
957.156784,1788180553.026290,1065858,11,1,1,-19.9678955078125,1.4312150478363037,-3.1543047428131104,-0.016865696758031845,-0.018198510631918907,0.009245263412594795
957.624596,1788180553.494102,1066356,39,1,1,-19.999624252319336,1.4324392080307007,-3.1604137420654297,-0.02064225636422634,-0.015133189037442207,0.007496776524931192
958.076643,1788180553.946149,1066856,68,1,1,-20.03129768371582,1.4356234073638916,-3.1486997604370117,-0.023539045825600624,-0.012943943031132221,0.011024626903235912
958.672414,1788180554.541920,1067353,96,1,1,-20.06502914428711,1.4431196451187134,-3.1496498584747314,-0.026183925569057465,-0.0082350242882967,0.009823450818657875
959.089341,1788180554.958847,1067858,125,1,1,-20.100446701049805,1.4511747360229492,-3.157414436340332,-0.03040541149675846,-0.004152405075728893,0.0061005474999547005
959.588840,1788180555.458346,1068353,153,1,1,-20.136672973632812,1.4590126276016235,-3.1649277210235596,-0.03460865095257759,-0.0019826495554298162,0.0030901164282113314
960.149968,1788180556.019474,1068857,182,1,1,-20.17072868347168,1.472717046737671,-3.166293144226074,-0.035395074635744095,0.0041315797716379166,0.003398543456569314
960.665497,1788180556.535003,1069353,210,1,1,-20.204065322875977,1.4883079528808594,-3.1536529064178467,-0.033373985439538956,0.010738828219473362,0.00586738483980298
961.117679,1788180556.987185,1069853,239,1,1,-20.230859756469727,1.4957607984542847,-3.1389098167419434,-0.027469269931316376,0.011895328760147095,0.0076225982047617435
961.586251,1788180557.455757,1070353,12,1,1,-20.257892608642578,1.5043307542800903,-3.1373941898345947,-0.021479682996869087,0.016666820272803307,0.007806267589330673
962.114590,1788180557.984096,1070853,41,1,1,-20.291484832763672,1.510197639465332,-3.13720440864563,-0.022844048216938972,0.019905930384993553,0.005199704319238663
962.631107,1788180558.500613,1071357,69,1,1,-20.33588409423828,1.5103683471679688,-3.1454262733459473,-0.029578618705272675,0.019078141078352928,0.002268413081765175
963.145217,1788180559.014723,1071853,98,1,1,-20.376474380493164,1.515048623085022,-3.153414726257324,-0.034300219267606735,0.01906360127031803,-0.0014814973110333085
963.657325,1788180559.526831,1072353,126,1,1,-20.409358978271484,1.5184087753295898,-3.1563284397125244,-0.03565863519906998,0.019681759178638458,-0.0023397565819323063
964.065935,1788180559.935441,1072856,155,1,1,-20.438983917236328,1.5183072090148926,-3.144723892211914,-0.033398643136024475,0.0182366780936718,0.001359501271508634
964.617442,1788180560.486948,1073356,183,1,1,-20.437313079833984,1.504584789276123,-3.135684013366699,-0.0210361797362566,0.008081473410129547,0.003103503491729498
965.110475,1788180560.979981,1073856,212,1,1,-20.401832580566406,1.4892196655273438,-3.127119541168213,-0.0007218553801067173,0.00233020493760705,0.004528834484517574
965.611226,1788180561.480732,1074353,240,1,1,-20.350378036499023,1.4759536981582642,-3.125120162963867,0.019506527110934258,-0.0024367801379412413,0.003989717923104763
966.140274,1788180562.009780,1074858,13,1,1,-20.31747055053711,1.4639434814453125,-3.1275007724761963,0.02874646708369255,-0.008086932823061943,0.003025486133992672
966.591315,1788180562.460821,1075361,41,1,1,-20.294689178466797,1.461828351020813,-3.113694906234741,0.030796587467193604,-0.006555506493896246,0.006260791327804327
967.169231,1788180563.038737,1075857,70,1,1,-20.264690399169922,1.4612271785736084,-3.1074483394622803,0.04045933112502098,-0.007943215779960155,0.008758763782680035
967.588111,1788180563.457617,1076356,98,1,1,-20.249021530151367,1.4657224416732788,-3.106313467025757,0.03815549612045288,-0.006601536646485329,0.0056547923013567924
968.087652,1788180563.957158,1076853,127,1,1,-20.24119758605957,1.4682012796401978,-3.1234989166259766,0.030942460522055626,-0.007624708581715822,-0.0010594903724268079
968.664027,1788180564.533533,1077358,155,1,1,-20.24172019958496,1.4713611602783203,-3.128045082092285,0.02136167325079441,-0.0058914534747600555,-0.002020380226895213
969.117111,1788180564.986617,1077856,184,1,1,-20.237403869628906,1.4820958375930786,-3.11674165725708,0.021096110343933105,-0.003291270462796092,-0.0002837424981407821
969.586701,1788180565.456207,1078353,212,1,1,-20.234222412109375,1.4930843114852905,-3.1076624393463135,0.017331881448626518,-0.0014663258334621787,0.0009497867431491613
