time_s,metric,source,destination,value
4.179923,obstacle_loss_db,2,3,0.0
4.276253,obstacle_loss_db,0,1,0.0
4.276253,obstacle_loss_db,0,2,17.01369285583496
4.276253,obstacle_loss_db,0,3,0.0
4.276253,obstacle_loss_db,1,2,0.0
4.276253,obstacle_loss_db,1,3,0.0
4.276253,obstacle_loss_db,2,3,0.0
4.379794,obstacle_loss_db,0,1,0.0
4.379794,obstacle_loss_db,0,2,16.972705841064453
4.379794,obstacle_loss_db,0,3,0.0
4.379794,obstacle_loss_db,1,2,0.0
4.379794,obstacle_loss_db,1,3,0.0
4.379794,obstacle_loss_db,2,3,0.0
4.476074,obstacle_loss_db,0,1,0.0
4.476074,obstacle_loss_db,0,2,16.95761489868164
4.476074,obstacle_loss_db,0,3,0.0
4.476074,obstacle_loss_db,1,2,0.0
4.476074,obstacle_loss_db,1,3,0.0
4.476074,obstacle_loss_db,2,3,0.0
4.579864,obstacle_loss_db,0,1,0.0
4.579864,obstacle_loss_db,0,2,16.92188835144043
4.579864,obstacle_loss_db,0,3,0.0
4.579864,obstacle_loss_db,1,2,0.0
4.579864,obstacle_loss_db,1,3,0.0
4.579864,obstacle_loss_db,2,3,0.0
4.615221,rssi_dbm,0,1,-50.427974700927734
4.615221,rssi_dbm,0,2,-75.87090301513672
4.615221,rssi_dbm,0,3,-58.42068099975586
4.615221,rssi_dbm,1,2,-55.44136047363281
4.615221,rssi_dbm,1,3,-58.388301849365234
4.615221,rssi_dbm,2,3,-58.6392936706543
4.615236,snr_db,0,1,43.572025299072266
4.615236,snr_db,0,2,18.129093170166016
4.615236,snr_db,0,3,35.57931900024414
4.615236,snr_db,1,2,38.55863952636719
4.615236,snr_db,1,3,35.611698150634766
4.615236,snr_db,2,3,35.3607063293457
4.676156,obstacle_loss_db,0,1,0.0
4.676156,obstacle_loss_db,0,2,16.885950088500977
4.676156,obstacle_loss_db,0,3,0.0
4.676156,obstacle_loss_db,1,2,0.0
4.676156,obstacle_loss_db,1,3,0.0
4.676156,obstacle_loss_db,2,3,0.0
4.779850,obstacle_loss_db,0,1,0.0
4.779850,obstacle_loss_db,0,2,16.853473663330078
4.779850,obstacle_loss_db,0,3,0.0
4.779850,obstacle_loss_db,1,2,0.0
4.779850,obstacle_loss_db,1,3,0.0
4.779850,obstacle_loss_db,2,3,0.0
4.876075,obstacle_loss_db,0,1,0.0
4.876075,obstacle_loss_db,0,2,16.825624465942383
4.876075,obstacle_loss_db,0,3,0.0
4.876075,obstacle_loss_db,1,2,0.0
4.876075,obstacle_loss_db,1,3,0.0
4.876075,obstacle_loss_db,2,3,0.0
4.979979,obstacle_loss_db,0,1,0.0
4.979979,obstacle_loss_db,0,2,16.798336029052734
4.979979,obstacle_loss_db,0,3,0.0
4.979979,obstacle_loss_db,1,2,0.0
4.979979,obstacle_loss_db,1,3,0.0
4.979979,obstacle_loss_db,2,3,0.0
5.076192,obstacle_loss_db,0,1,0.0
5.076192,obstacle_loss_db,0,2,16.770116806030273
5.076192,obstacle_loss_db,0,3,0.0
5.076192,obstacle_loss_db,1,2,0.0
5.076192,obstacle_loss_db,1,3,0.0
5.076192,obstacle_loss_db,2,3,0.0
5.115264,rssi_dbm,0,1,-54.25843048095703
5.115264,rssi_dbm,0,2,-84.49440002441406
5.115264,rssi_dbm,0,3,-64.96483612060547
5.115264,rssi_dbm,1,2,-57.243690490722656
5.115264,rssi_dbm,1,3,-62.43513870239258
5.115264,rssi_dbm,2,3,-61.51969528198242
5.115272,snr_db,0,1,39.74156951904297
5.115272,snr_db,0,2,9.505602836608887
5.115272,snr_db,0,3,29.035167694091797
5.115272,snr_db,1,2,36.756309509277344
5.115272,snr_db,1,3,31.564861297607422
5.115272,snr_db,2,3,32.48030471801758
5.179966,obstacle_loss_db,0,1,0.0
5.179966,obstacle_loss_db,0,2,16.72447395324707
5.179966,obstacle_loss_db,0,3,0.0
5.179966,obstacle_loss_db,1,2,0.0
5.179966,obstacle_loss_db,1,3,0.0
5.179966,obstacle_loss_db,2,3,0.0
5.276197,obstacle_loss_db,0,1,0.0
5.276197,obstacle_loss_db,0,2,16.72447395324707
5.276197,obstacle_loss_db,0,3,0.0
5.276197,obstacle_loss_db,1,2,0.0
5.276197,obstacle_loss_db,1,3,0.0
5.276197,obstacle_loss_db,2,3,0.0
5.379977,obstacle_loss_db,0,1,0.0
5.379977,obstacle_loss_db,0,2,16.686525344848633
5.379977,obstacle_loss_db,0,3,0.0
5.379977,obstacle_loss_db,1,2,0.0
5.379977,obstacle_loss_db,1,3,0.0
5.379977,obstacle_loss_db,2,3,0.0
5.476511,obstacle_loss_db,0,1,0.0
5.476511,obstacle_loss_db,0,2,16.686525344848633
5.476511,obstacle_loss_db,0,3,0.0
5.476511,obstacle_loss_db,1,2,0.0
5.476511,obstacle_loss_db,1,3,0.0
5.476511,obstacle_loss_db,2,3,0.0
5.579947,obstacle_loss_db,0,1,0.0
5.579947,obstacle_loss_db,0,2,16.665569305419922
5.579947,obstacle_loss_db,0,3,0.0
5.579947,obstacle_loss_db,1,2,0.0
5.579947,obstacle_loss_db,1,3,0.0
5.579947,obstacle_loss_db,2,3,0.0
5.615214,rssi_dbm,0,1,-52.72156524658203
5.615214,rssi_dbm,0,2,-72.97528839111328
5.615214,rssi_dbm,0,3,-59.631202697753906
5.615214,rssi_dbm,1,2,-57.62200164794922
5.615214,rssi_dbm,1,3,-56.23805236816406
5.615214,rssi_dbm,2,3,-61.35635757446289
5.615226,snr_db,0,1,41.27843475341797
5.615226,snr_db,0,2,21.024709701538086
5.615226,snr_db,0,3,34.368797302246094
5.615226,snr_db,1,2,36.37799835205078
5.615226,snr_db,1,3,37.76194763183594
5.615226,snr_db,2,3,32.64364242553711
5.676252,obstacle_loss_db,0,1,0.0
5.676252,obstacle_loss_db,0,2,16.658029556274414
5.676252,obstacle_loss_db,0,3,0.0
5.676252,obstacle_loss_db,1,2,0.0
5.676252,obstacle_loss_db,1,3,0.0
5.676252,obstacle_loss_db,2,3,0.0
5.779898,obstacle_loss_db,0,1,0.0
5.779898,obstacle_loss_db,0,2,16.639453887939453
5.779898,obstacle_loss_db,0,3,0.0
5.779898,obstacle_loss_db,1,2,0.0
5.779898,obstacle_loss_db,1,3,0.0
5.779898,obstacle_loss_db,2,3,0.0
5.876179,obstacle_loss_db,0,1,0.0
5.876179,obstacle_loss_db,0,2,16.6215763092041
5.876179,obstacle_loss_db,0,3,0.0
5.876179,obstacle_loss_db,1,2,0.0
5.876179,obstacle_loss_db,1,3,0.0
5.876179,obstacle_loss_db,2,3,0.0
5.979872,obstacle_loss_db,0,1,0.0
5.979872,obstacle_loss_db,0,2,16.6082820892334
5.979872,obstacle_loss_db,0,3,0.0
5.979872,obstacle_loss_db,1,2,0.0
5.979872,obstacle_loss_db,1,3,0.0
5.979872,obstacle_loss_db,2,3,0.0
6.076327,obstacle_loss_db,0,1,0.0
6.076327,obstacle_loss_db,0,2,16.596338272094727
6.076327,obstacle_loss_db,0,3,0.0
6.076327,obstacle_loss_db,1,2,0.0
6.076327,obstacle_loss_db,1,3,0.0
6.076327,obstacle_loss_db,2,3,0.0
6.115257,rssi_dbm,0,1,-53.807472229003906
6.115257,rssi_dbm,0,2,-73.61003112792969
6.115257,rssi_dbm,0,3,-70.85124206542969
6.115257,rssi_dbm,1,2,-57.22884750366211
6.115257,rssi_dbm,1,3,-56.270057678222656
6.115257,rssi_dbm,2,3,-58.98289108276367
6.115271,snr_db,0,1,40.192527770996094
6.115271,snr_db,0,2,20.38996696472168
6.115271,snr_db,0,3,23.148761749267578
6.115271,snr_db,1,2,36.77115249633789
6.115271,snr_db,1,3,37.729942321777344
6.115271,snr_db,2,3,35.01710891723633
6.180200,obstacle_loss_db,0,1,0.0
6.180200,obstacle_loss_db,0,2,16.577993392944336
6.180200,obstacle_loss_db,0,3,0.0
6.180200,obstacle_loss_db,1,2,0.0
6.180200,obstacle_loss_db,1,3,0.0
6.180200,obstacle_loss_db,2,3,0.0
6.276227,obstacle_loss_db,0,1,0.0
6.276227,obstacle_loss_db,0,2,16.577993392944336
6.276227,obstacle_loss_db,0,3,0.0
6.276227,obstacle_loss_db,1,2,0.0
6.276227,obstacle_loss_db,1,3,0.0
6.276227,obstacle_loss_db,2,3,0.0
6.379870,obstacle_loss_db,0,1,0.0
6.379870,obstacle_loss_db,0,2,16.572568893432617
6.379870,obstacle_loss_db,0,3,0.0
6.379870,obstacle_loss_db,1,2,0.0
6.379870,obstacle_loss_db,1,3,0.0
6.379870,obstacle_loss_db,2,3,0.0
6.476202,obstacle_loss_db,0,1,0.0
6.476202,obstacle_loss_db,0,2,16.5655574798584
6.476202,obstacle_loss_db,0,3,0.0
6.476202,obstacle_loss_db,1,2,0.0
6.476202,obstacle_loss_db,1,3,0.0
6.476202,obstacle_loss_db,2,3,0.0
6.579970,obstacle_loss_db,0,1,0.0
6.579970,obstacle_loss_db,0,2,16.562541961669922
6.579970,obstacle_loss_db,0,3,0.0
6.579970,obstacle_loss_db,1,2,0.0
6.579970,obstacle_loss_db,1,3,0.0
6.579970,obstacle_loss_db,2,3,0.0
6.615380,rssi_dbm,0,1,-48.505889892578125
6.615380,rssi_dbm,0,2,-84.0345458984375
6.615380,rssi_dbm,0,3,-61.278480529785156
6.615380,rssi_dbm,1,2,-60.017662048339844
6.615380,rssi_dbm,1,3,-58.88591003417969
6.615380,rssi_dbm,2,3,-57.60630416870117
6.615398,snr_db,0,1,45.494110107421875
6.615398,snr_db,0,2,9.965452194213867
6.615398,snr_db,0,3,32.721519470214844
6.615398,snr_db,1,2,33.982337951660156
6.615398,snr_db,1,3,35.11408996582031
6.615398,snr_db,2,3,36.39369583129883
6.676500,obstacle_loss_db,0,1,0.0
6.676500,obstacle_loss_db,0,2,16.560522079467773
6.676500,obstacle_loss_db,0,3,0.0
6.676500,obstacle_loss_db,1,2,0.0
6.676500,obstacle_loss_db,1,3,0.0
