Linux 5.15.0-186-generic (lenovo) 	08/06/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:05:32 AM  1002     43897   47.00    0.00    0.00    0.00   47.00     8  14726.00      0.00 9175896  805344   2.48  python3
12:05:32 AM  1002     44595    1.00    0.00    0.00    0.00    1.00     4      0.00      0.00 2072144  169288   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:05:33 AM  1002     43897   66.00    6.00    0.00    0.00   72.00    12  14726.00      0.00 9175896  805424   2.48  python3
12:05:33 AM  1002     44595    2.00    0.00    0.00    0.00    2.00     4      0.00      0.00 2072144  169288   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:05:34 AM  1002     43897   40.00    4.00    0.00    0.00   44.00    12  14726.00      0.00 9190176  819788   2.52  python3
12:05:34 AM  1002     44595    0.00    2.00    0.00    0.00    2.00     4      0.00      0.00 2072144  169288   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:05:35 AM  1002     43897   53.00    2.00    0.00    0.00   55.00    12  11156.00      0.00 9190176  819700   2.52  python3
12:05:35 AM  1002     44595    2.00    0.00    0.00    0.00    2.00     2      0.00      0.00 2072144  169288   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:05:36 AM  1002     43897   44.00    4.00    0.00    0.00   48.00    10  11156.00      0.00 9175896  805068   2.48  python3
12:05:36 AM  1002     44595    2.00    0.00    0.00    0.00    2.00     2      0.00      0.00 2072144  169288   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:05:37 AM  1002     43897   54.00    0.00    0.00    0.00   54.00    12  14726.00      0.00 9175896  804884   2.48  python3
12:05:37 AM  1002     44595    1.00    0.00    0.00    0.00    1.00    10      0.00      0.00 2072144  169288   0.52  python3
