Linux 5.15.0-186-generic (lenovo) 	08/06/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:50:53 AM  1002     80904    2.00    1.00    0.00    0.00    3.00    22      0.00      0.00 2072060  169864   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:50:54 AM  1002     79980   41.00    4.00    0.00    0.00   45.00    10  13706.00      0.00 9167820  797304   2.45  python3
01:50:54 AM  1002     80904    1.00    1.00    0.00    0.00    2.00    10      0.00      0.00 2072060  169864   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:50:55 AM  1002     79980   50.00    3.00    0.00    0.00   53.00    10  13706.00      0.00 9182100  811520   2.50  python3
01:50:55 AM  1002     80904    0.00    0.00    0.00    0.00    0.00    10      0.00      0.00 2072060  169864   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:50:56 AM  1002     79980   57.00    1.00    0.00    0.00   58.00    10  10781.00      0.00 9182100  811280   2.50  python3
01:50:56 AM  1002     80904    2.00    1.00    0.00    0.00    3.00     8      1.00      0.00 2072060  169864   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:50:57 AM  1002     79980   60.00    1.00    0.00    0.00   61.00    10   9116.00      0.00 9196380  825692   2.54  python3
01:50:57 AM  1002     80904    1.00    1.00    0.00    0.00    2.00     5      0.00      0.00 2072060  169864   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:50:58 AM  1002     79980   51.00    0.00    0.00    0.00   51.00    10  13706.00      0.00 9167820  797272   2.45  python3
01:50:58 AM  1002     80904    1.00    0.00    0.00    0.00    1.00     4      0.00      0.00 2072060  169864   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:50:59 AM  1002     79980   54.00    4.00    0.00    0.00   58.00    10  14727.00      0.00 9167820  797096   2.45  python3
01:50:59 AM  1002     80904    1.00    1.00    0.00    0.00    2.00    17      0.00      0.00 2072060  169864   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:51:00 AM  1002     79980   70.00    3.00    0.00    0.00   73.00    14  15625.00      0.00 9167820  797068   2.45  python3
01:51:00 AM  1002     80904    2.00    0.00    0.00    0.00    2.00    14      0.00      0.00 2072060  169864   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
