Linux 5.15.0-186-generic (lenovo) 	08/06/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:53:56 AM  1002     82777    4.00    1.00    0.00    0.00    5.00     4   1995.00      0.00 2072044  177264   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:53:57 AM  1002     82461   69.00    3.00    0.00    0.00   72.00    10  15332.00      0.00 9171208  800764   2.47  python3
01:53:57 AM  1002     82777    3.00    1.00    0.00    0.00    4.00     4   1995.00      0.00 2072044  177264   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:53:58 AM  1002     82461   87.00    4.00    0.00    0.00   91.00    12  16665.00      0.00 9177328  806872   2.48  python3
01:53:58 AM  1002     82777    1.00    2.00    0.00    0.00    3.00     6   1995.00      0.00 2072044  177264   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:53:59 AM  1002     82461   61.00    2.00    0.00    0.00   63.00    10  14726.00      0.00 9179368  808564   2.49  python3
01:53:59 AM  1002     82777    3.00    1.00    0.00    0.00    4.00    12   1995.00      0.00 2072044  177264   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:54:00 AM  1002     82461   39.00    1.00    0.00    0.00   40.00    10   9557.00      0.00 9177328  806680   2.48  python3
01:54:00 AM  1002     82777    1.00    1.00    0.00    0.00    2.00    19   1995.00      0.00 2072044  177264   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:54:01 AM  1002     82461   38.00    4.00    0.00    0.00   42.00    10  15135.00      0.00 9171208  800360   2.46  python3
01:54:01 AM  1002     82777    3.00    1.00    0.00    0.00    4.00    14   1995.00      0.00 2072044  177264   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:54:02 AM  1002     82461   40.00    3.00    0.00    0.00   43.00    10  17245.00      0.00 9177328  806540   2.48  python3
01:54:02 AM  1002     82777    2.00    1.00    0.00    0.00    3.00    10   1995.00      0.00 2072044  177264   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:54:03 AM  1002     82461   41.00    0.00    0.00    0.00   41.00    10  14856.00      0.00 9171208  800308   2.46  python3
01:54:03 AM  1002     82777    2.00    1.00    0.00    0.00    3.00    10   1995.00      0.00 2072044  177264   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:54:04 AM  1002     82461   60.00    0.00    0.00    0.00   60.00    12  17244.00      0.00 9177328  806748   2.48  python3
01:54:04 AM  1002     82777    2.00    1.00    0.00    0.00    3.00    10   1995.00      0.00 2072044  177264   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:54:05 AM  1002     82461   52.00    4.00    0.00    0.00   56.00    12  14728.00      0.00 9195824  824388   2.54  python3
01:54:05 AM  1002     82777    3.00    2.00    0.00    0.00    5.00    19   1995.00      0.00 2072044  177264   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:54:06 AM  1002     82461   51.00    1.00    0.00    0.00   52.00    10   5475.00      0.00 9179368  808864   2.49  python3
01:54:06 AM  1002     82777    2.00    1.00    0.00    0.00    3.00     4   1995.00      0.00 2072044  177264   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:54:07 AM  1002     82461   41.00    0.00    0.00    0.00   41.00    12  14216.00      0.00 9171208  800432   2.46  python3
01:54:07 AM  1002     82777    2.00    1.00    0.00    0.00    3.00     2   1995.00      0.00 2072044  177264   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:54:08 AM  1002     82461   68.00    2.00    0.00    0.00   70.00    12  16256.00      0.00 9177328  806656   2.48  python3
01:54:08 AM  1002     82777    1.00    2.00    0.00    0.00    3.00     4   1995.00      0.00 2072044  177264   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:54:09 AM  1002     82461   73.00    7.00    0.00    0.00   80.00    10  14880.00      0.00 9171208  800472   2.46  python3
01:54:09 AM  1002     82777    2.00    2.00    0.00    0.00    4.00    22   1996.00      0.00 2072044  177264   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:54:10 AM  1002     82461   54.00    3.00    0.00    0.00   57.00    10  16257.00      0.00 9177328  806700   2.48  python3
01:54:10 AM  1002     82777    3.00    1.00    0.00    0.00    4.00     8   1995.00      0.00 2072044  177268   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:54:11 AM  1002     82461   49.00    1.00    0.00    0.00   50.00    12  15136.00      0.00 9171208  800920   2.47  python3
01:54:11 AM  1002     82777    2.00    2.00    0.00    0.00    4.00    14   1995.00      0.00 2072044  177268   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:54:12 AM  1002     82461   59.00    4.00    0.00    0.00   63.00    12  16256.00      0.00 9177328  806880   2.48  python3
01:54:12 AM  1002     82777    2.00    2.00    0.00    0.00    4.00     2   1995.00      0.00 2072044  177268   0.55  python3
