Linux 5.15.0-186-generic (lenovo) 	08/06/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:16:42 AM  1002     74590   47.00    1.00    0.00    0.00   48.00     2   5264.00      0.00 9178852  808812   2.49  python3
01:16:42 AM  1002     74904    2.00    1.00    0.00    0.00    3.00     0   1990.00      0.00 2071968  177388   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:16:43 AM  1002     74590    0.00    0.00    0.00    0.00    0.00     2      0.00      0.00 9178852  808812   2.49  python3
01:16:43 AM  1002     74904    3.00    1.00    0.00    0.00    4.00     2   1990.00      0.00 2071968  177388   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:16:44 AM  1002     74590   48.00    9.00    0.00    0.00   57.00     2  11433.00      0.00 9165680  795408   2.45  python3
01:16:44 AM  1002     74904    2.00    1.00    0.00    0.00    3.00    20   1990.00      0.00 2071968  177388   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:16:45 AM  1002     74590   49.00    3.00    0.00    0.00   52.00     2  14656.00      0.00 9162980  792848   2.44  python3
01:16:45 AM  1002     74904    2.00    2.00    0.00    0.00    4.00     6   1990.00      0.00 2071968  177388   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:16:46 AM  1002     74590    0.00    0.00    0.00    0.00    0.00     2      0.00      0.00 9162980  792848   2.44  python3
01:16:46 AM  1002     74904    3.00    0.00    0.00    0.00    3.00    10   1990.00      0.00 2071968  177388   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:16:47 AM  1002     74590    0.00    0.00    0.00    0.00    0.00     2      0.00      0.00 9162980  792848   2.44  python3
01:16:47 AM  1002     74904    2.00    2.00    0.00    0.00    4.00     0   1990.00      0.00 2071968  177388   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:16:48 AM  1002     74590    0.00    0.00    0.00    0.00    0.00     2      0.00      0.00 9162980  792848   2.44  python3
01:16:48 AM  1002     74904    3.00    1.00    0.00    0.00    4.00     4   1990.00      0.00 2071968  177388   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:16:49 AM  1002     74590   51.00    3.00    0.00    0.00   54.00     2  16097.00      0.00 9165680  795536   2.45  python3
01:16:49 AM  1002     74904    1.00    1.00    0.00    0.00    2.00     0   1990.00      0.00 2071968  177388   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:16:50 AM  1002     74590    0.00    0.00    0.00    0.00    0.00     2      0.00      0.00 9165680  795536   2.45  python3
01:16:50 AM  1002     74904    2.00    1.00    0.00    0.00    3.00     0   1990.00      0.00 2071968  177388   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:16:51 AM  1002     74590   75.00    9.00    0.00    0.00   84.00    17  15619.00      0.00 9171800  801384   2.47  python3
01:16:51 AM  1002     74904    3.00    1.00    0.00    0.00    4.00     6   1990.00      0.00 2071968  177388   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:16:52 AM  1002     74590    0.00    0.00    0.00    0.00    0.00    17      0.00      0.00 9171800  801384   2.47  python3
01:16:52 AM  1002     74904    2.00    1.00    0.00    0.00    3.00    10   1990.00      0.00 2071968  177388   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:16:53 AM  1002     74590   53.00    0.00    0.00    0.00   53.00     8  16224.00      0.00 9171800  801532   2.47  python3
01:16:53 AM  1002     74904    2.00    1.00    0.00    0.00    3.00     0   1990.00      0.00 2071968  177388   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:16:54 AM  1002     74590   55.00    0.00    0.00    0.00   55.00     8  14090.00      0.00 9162980  793048   2.44  python3
01:16:54 AM  1002     74904    3.00    1.00    0.00    0.00    4.00     0   1990.00      0.00 2071968  177388   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01:16:55 AM  1002     74590   40.00    3.00    0.00    0.00   43.00     8  16295.00      0.00 9165680  795744   2.45  python3
01:16:55 AM  1002     74904    3.00    0.00    0.00    0.00    3.00     6   1990.00      0.00 2071968  177388   0.55  python3
