Linux 5.15.0-186-generic (lenovo) 	08/06/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:30:12 PM  1002     13138   42.00    4.00    0.00    0.00   46.00     8  16225.00      0.00 9178844  807668   2.49  python3
12:30:12 PM  1002     13449    3.00    0.00    0.00    0.00    3.00     4   1995.00      0.00 2069392  174876   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:30:13 PM  1002     13138   21.00    3.00    0.00    0.00   24.00     8  12144.00      0.00 9187004  815792   2.51  python3
12:30:13 PM  1002     13449    3.00    1.00    0.00    0.00    4.00    19   1995.00      0.00 2069392  174876   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:30:14 PM  1002     13138   83.00    6.00    0.00    0.00   89.00    10  17244.00      0.00 9178844  808172   2.49  python3
12:30:14 PM  1002     13449    2.00    1.00    0.00    0.00    3.00     8   1995.00      0.00 2069392  174876   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:30:15 PM  1002     13138   35.00    3.00    0.00    0.00   38.00    10  14694.00      0.00 9172724  802040   2.47  python3
12:30:15 PM  1002     13449    2.00    1.00    0.00    0.00    3.00    22   1995.00      0.00 2069392  174876   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:30:16 PM  1002     13138   44.00    3.00    0.00    0.00   47.00    10  16224.00      0.00 9178844  807808   2.49  python3
12:30:16 PM  1002     13449    3.00    1.00    0.00    0.00    4.00    16   1995.00      0.00 2069392  174876   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:30:17 PM  1002     13138   42.00    3.00    0.00    0.00   45.00    10  14694.00      0.00 9172724  801676   2.47  python3
12:30:17 PM  1002     13449    1.00    1.00    0.00    0.00    2.00    14   1995.00      0.00 2069392  174876   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:30:18 PM  1002     13138   48.00    3.00    0.00    0.00   51.00    10  16224.00      0.00 9178844  807972   2.49  python3
12:30:18 PM  1002     13449    2.00    1.00    0.00    0.00    3.00    10   1995.00      0.00 2069392  174876   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:30:19 PM  1002     13138    0.00    0.00    0.00    0.00    0.00    10      0.00      0.00 9178844  807972   2.49  python3
12:30:19 PM  1002     13449    2.00    1.00    0.00    0.00    3.00    14   1995.00      0.00 2069392  174876   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:30:20 PM  1002     13138    0.00    0.00    0.00    0.00    0.00    10      0.00      0.00 9178844  807972   2.49  python3
12:30:20 PM  1002     13449    2.00    1.00    0.00    0.00    3.00    16   1995.00      0.00 2069392  174876   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:30:21 PM  1002     13138    0.00    0.00    0.00    0.00    0.00    10      0.00      0.00 9178844  807972   2.49  python3
12:30:21 PM  1002     13449    3.00    1.00    0.00    0.00    4.00     8   1995.00      0.00 2069392  174876   0.54  python3
