Linux 5.15.0-186-generic (lenovo) 	08/06/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:55:58 PM  1002     19073    2.00    1.00    0.00    0.00    3.00    22      1.00      0.00 2072052  170068   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:55:59 PM  1002     17388   39.00    1.00    0.00    0.00   40.00     8  16097.00      0.00 9189068  817624   2.52  python3
12:55:59 PM  1002     19073    1.00    1.00    0.00    0.00    2.00     1      0.00      0.00 2072052  170068   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:56:00 PM  1002     17388   50.00    0.00    0.00    0.00   50.00     8   9061.00      0.00 9185648  814160   2.51  python3
12:56:00 PM  1002     19073    1.00    2.00    0.00    0.00    3.00     6      0.00      0.00 2072052  170068   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:56:01 PM  1002     17388   49.00    5.00    0.00    1.00   54.00     8  13196.00      0.00 9182948  811756   2.50  python3
12:56:01 PM  1002     19073    2.00    1.00    0.00    0.00    3.00    22      0.00      0.00 2072052  170068   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:56:02 PM  1002     17388   44.00    1.00    0.00    0.00   45.00     8  13196.00      0.00 9182948  811624   2.50  python3
12:56:02 PM  1002     19073    2.00    1.00    0.00    0.00    3.00    10      0.00      0.00 2072052  170068   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:56:03 PM  1002     17388   39.00    0.00    0.00    0.00   39.00     8  13196.00      0.00 9182948  811492   2.50  python3
12:56:03 PM  1002     19073    3.00    2.00    0.00    0.00    5.00    14      0.00      0.00 2072052  170068   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:56:04 PM  1002     17388   44.00    0.00    0.00    0.00   44.00     8  13196.00      0.00 9182948  811888   2.50  python3
12:56:04 PM  1002     19073    2.00    0.00    0.00    0.00    2.00     2      0.00      0.00 2072052  170068   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:56:05 PM  1002     17388   59.00    1.00    0.00    0.00   60.00    10  13196.00      0.00 9182948  812020   2.50  python3
12:56:05 PM  1002     19073    2.00    1.00    0.00    0.00    3.00    19      0.00      0.00 2072052  170068   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:56:06 PM  1002     17388   50.00    3.00    0.00    0.00   53.00    14  13196.00      0.00 9182948  811888   2.50  python3
12:56:06 PM  1002     19073    2.00    0.00    0.00    0.00    2.00    10      1.00      0.00 2072052  170068   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:56:07 PM  1002     17388   44.00    0.00    0.00    0.00   44.00    14  12177.00      0.00 9182948  811628   2.50  python3
12:56:07 PM  1002     19073    2.00    1.00    0.00    0.00    3.00    10      0.00      0.00 2072052  170068   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:56:08 PM  1002     17388   54.00    0.00    0.00    0.00   54.00    14  14656.00      0.00 9182948  811816   2.50  python3
12:56:08 PM  1002     19073    1.00    1.00    0.00    0.00    2.00    10      0.00      0.00 2072052  170068   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:56:09 PM  1002     17388   45.00    6.00    0.00    0.00   51.00    14  13196.00      0.00 9182948  811684   2.50  python3
12:56:09 PM  1002     19073    0.00    1.00    0.00    0.00    1.00    17      0.00      0.00 2072052  170068   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:56:10 PM  1002     17388   39.00    0.00    0.00    0.00   39.00    14  13196.00      0.00 9182948  811552   2.50  python3
12:56:10 PM  1002     19073    2.00    0.00    0.00    0.00    2.00     0      0.00      0.00 2072052  170068   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:56:11 PM  1002     17388   36.00    6.00    0.00    0.00   42.00     0  13196.00      0.00 9182948  811420   2.50  python3
12:56:11 PM  1002     19073    2.00    1.00    0.00    0.00    3.00     0      0.00      0.00 2072052  170068   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:56:12 PM  1002     17388   43.00    1.00    0.00    0.00   44.00     0  14656.00      0.00 9182948  811076   2.50  python3
12:56:12 PM  1002     19073    2.00    0.00    0.00    0.00    2.00    21      0.00      0.00 2072052  170068   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:56:13 PM  1002     17388   37.00    3.00    0.00    0.00   40.00     0  13196.00      0.00 9182948  810944   2.50  python3
12:56:13 PM  1002     19073    2.00    0.00    0.00    0.00    2.00     8      0.00      0.00 2072052  170068   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:56:14 PM  1002     17388   43.00    1.00    0.00    0.00   44.00     0  14656.00      0.00 9182948  811392   2.50  python3
12:56:14 PM  1002     19073    2.00    1.00    0.00    0.00    3.00    19      0.00      0.00 2072052  170068   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:56:15 PM  1002     17388   47.00    1.00    0.00    0.00   48.00     4  13196.00      0.00 9182948  811524   2.50  python3
12:56:15 PM  1002     19073    1.00    0.00    0.00    0.00    1.00    22      0.00      0.00 2072052  170068   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:56:16 PM  1002     17388   51.00    1.00    0.00    0.00   52.00     0  13196.00      0.00 9182948  811656   2.50  python3
12:56:16 PM  1002     19073    2.00    0.00    0.00    0.00    2.00    18      0.00      0.00 2072052  170068   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:56:17 PM  1002     17388   38.00    5.00    0.00    0.00   43.00    10  13197.00      0.00 9182948  811788   2.50  python3
12:56:17 PM  1002     19073    2.00    1.00    0.00    0.00    3.00    18      0.00      0.00 2072052  170068   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:56:18 PM  1002     17388   61.00    5.00    0.00    0.00   66.00    10  14656.00      0.00 9182948  811184   2.50  python3
12:56:18 PM  1002     19073    3.00    1.00    0.00    0.00    4.00     2      0.00      0.00 2072052  170068   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:56:19 PM  1002     17388   39.00    0.00    0.00    0.00   39.00    10  13196.00      0.00 9182948  811844   2.50  python3
12:56:19 PM  1002     19073    0.00    1.00    0.00    0.00    1.00     4      0.00      0.00 2072052  170068   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:56:20 PM  1002     17388   42.00    5.00    0.00    0.00   47.00    10  13196.00      0.00 9182948  811712   2.50  python3
12:56:20 PM  1002     19073    1.00    1.00    0.00    0.00    2.00     6      0.00      0.00 2072052  170068   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:56:21 PM  1002     17388   54.00    3.00    0.00    0.00   57.00    10  13196.00      0.00 9189068  817700   2.52  python3
12:56:21 PM  1002     19073    1.00    1.00    0.00    0.00    2.00     4      0.00      0.00 2072052  170068   0.52  python3
