Linux 5.15.0-186-generic (lenovo) 	08/06/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:18:10 AM  1002     97383    2.00    0.00    0.00    0.00    2.00    23      0.00      0.00 2072020  177460   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:18:11 AM  1002     97079   54.00    0.00    0.00    0.00   54.00    12    272.00      0.00 9198460  827152   2.55  python3
02:18:11 AM  1002     97383    2.00    0.00    0.00    0.00    2.00    14      0.00      0.00 2072020  177460   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:18:12 AM  1002     97079   73.00    5.00    0.00    0.00   78.00     4  15653.00      0.00 9160292  789592   2.43  python3
02:18:12 AM  1002     97383    2.00    1.00    0.00    0.00    3.00     1      0.00      0.00 2072020  177460   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:18:13 AM  1002     97079   52.00    1.00    0.00    0.00   53.00     8  16932.00      0.00 9162992  791980   2.44  python3
02:18:13 AM  1002     97383    2.00    0.00    0.00    0.00    2.00    12      0.00      0.00 2072020  177460   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:18:14 AM  1002     97079   46.00    1.00    0.00    0.00   47.00     8  15909.00      0.00 9160292  789560   2.43  python3
02:18:14 AM  1002     97383    2.00    1.00    0.00    0.00    3.00    14      0.00      0.00 2072020  177460   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:18:15 AM  1002     97079   40.00    2.00    0.00    0.00   42.00    12  17187.00      0.00 9162992  792176   2.44  python3
02:18:15 AM  1002     97383    2.00    1.00    0.00    0.00    3.00    21      0.00      0.00 2072020  177460   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:18:16 AM  1002     97079   48.00    4.00    0.00    0.00   52.00    10  15652.00      0.00 9160292  789316   2.43  python3
02:18:16 AM  1002     97383    2.00    0.00    0.00    0.00    2.00    12      0.00      0.00 2072020  177460   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:18:17 AM  1002     97079   51.00    0.00    0.00    0.00   51.00     8  16734.00      0.00 9162992  791992   2.44  python3
02:18:17 AM  1002     97383    2.00    0.00    0.00    0.00    2.00     4      0.00      0.00 2072020  177460   0.55  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02:18:18 AM  1002     97079   47.00    3.00    0.00    0.00   50.00     8  19957.00      0.00 9160292  789148   2.43  python3
02:18:18 AM  1002     97383    2.00    1.00    0.00    0.00    3.00     4      0.00      0.00 2072020  177460   0.55  python3
