Linux 5.15.0-186-generic (lenovo) 	08/06/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:41:12 PM  1002      6927   84.00    0.00    0.00    0.00   84.00     8   9951.00      0.00 9181932  807100   2.49  python3
12:41:12 PM  1002      7278    2.00    1.00    0.00    0.00    3.00     2   1990.00      0.00 2069388  174544   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:41:13 PM  1002      6927   42.00    1.00    0.00    0.00   43.00     8  15746.00      0.00 9198380  823140   2.53  python3
12:41:13 PM  1002      7278    3.00    1.00    0.00    0.00    4.00     2   1990.00      0.00 2069388  174544   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:41:14 PM  1002      6927   38.00    2.00    0.00    0.00   40.00     8   6056.00      0.00 9181932  807272   2.49  python3
12:41:14 PM  1002      7278    1.00    0.00    0.00    0.00    1.00    14   1990.00      0.00 2069388  174544   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:41:15 PM  1002      6927   49.00    4.00    0.00    0.00   53.00     8  12871.00      0.00 9181932  806908   2.48  python3
12:41:15 PM  1002      7278    2.00    2.00    0.00    0.00    4.00     2   1990.00      0.00 2069388  174544   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:41:16 PM  1002      6927   53.00    2.00    0.00    0.00   55.00     8  10136.00      0.00 9181932  807108   2.49  python3
12:41:16 PM  1002      7278    2.00    0.00    0.00    0.00    2.00     2   1990.00      0.00 2069388  174544   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:41:17 PM  1002      6927   53.00    1.00    0.00    0.00   54.00     8  12871.00      0.00 9181932  807008   2.48  python3
12:41:17 PM  1002      7278    2.00    1.00    0.00    0.00    3.00     2   1990.00      0.00 2069388  174544   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:41:18 PM  1002      6927   51.00    3.00    0.00    0.00   54.00     8  10136.00      0.00 9181932  807208   2.49  python3
12:41:18 PM  1002      7278    2.00    1.00    0.00    0.00    3.00     0   1990.00      0.00 2069388  174544   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:41:19 PM  1002      6927    0.00    0.00    0.00    0.00    0.00     8      0.00      0.00 9181932  807208   2.49  python3
12:41:19 PM  1002      7278    2.00    1.00    0.00    0.00    3.00     6   1990.00      0.00 2069388  174544   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:41:20 PM  1002      6927   40.00    1.00    0.00    0.00   41.00    16  12176.00      2.00 9181932  807364   2.49  python3
12:41:20 PM  1002      7278    2.00    2.00    0.00    0.00    4.00    16   1995.00      0.00 2069388  174524   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:41:21 PM  1002      6927   40.00    3.00    0.00    0.00   43.00     8  10136.00      0.00 9181932  807036   2.48  python3
12:41:21 PM  1002      7278    3.00    0.00    0.00    0.00    3.00     8   1990.00      0.00 2069388  174544   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:41:22 PM  1002      6927    0.00    0.00    0.00    0.00    0.00     8      0.00      0.00 9181932  807036   2.48  python3
12:41:22 PM  1002      7278    2.00    1.00    0.00    0.00    3.00    10   1995.00      0.00 2069388  174524   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:41:23 PM  1002      6927   50.00    1.00    0.00    0.00   51.00     8  13196.00      0.00 9181932  806928   2.48  python3
12:41:23 PM  1002      7278    2.00    1.00    0.00    0.00    3.00     6   1990.00      0.00 2069388  174544   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:41:24 PM  1002      6927   43.00    4.00    0.00    0.00   47.00     8  15318.00      0.00 9181932  807420   2.49  python3
12:41:24 PM  1002      7278    1.00    0.00    0.00    0.00    1.00    12   1319.00      0.00 2066520  171620   0.53  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:41:25 PM  1002      6927   42.00    3.00    0.00    0.00   45.00     8  15389.00      0.00 9181932  806832   2.48  python3
12:41:25 PM  1002      7278    3.00    1.00    0.00    0.00    4.00    22   2666.00      0.00 2069388  174544   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:41:26 PM  1002      6927   50.00    0.00    0.00    0.00   50.00    12  10136.00      1.00 9181932  807356   2.49  python3
12:41:26 PM  1002      7278    2.00    2.00    0.00    0.00    4.00     4   1990.00      0.00 2069388  174544   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:41:27 PM  1002      6927   47.00    1.00    0.00    0.00   48.00    12  12176.00      0.00 9181932  807392   2.49  python3
12:41:27 PM  1002      7278    1.00    1.00    0.00    0.00    2.00     4   1995.00      0.00 2069388  174524   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:41:28 PM  1002      6927   51.00    3.00    0.00    0.00   54.00    12  10136.00      0.00 9181932  807328   2.49  python3
12:41:28 PM  1002      7278    3.00    1.00    0.00    0.00    4.00     8   1995.00      0.00 2069388  174524   0.54  python3
