Linux 5.15.0-186-generic (lenovo) 	08/06/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:46:21 PM  1002     10730   53.00    1.00    0.00    0.00   54.00    12  13637.00      0.00 9181100  811152   2.50  python3
12:46:21 PM  1002     13145    4.00    2.00    0.00    0.00    6.00     8   1995.00      0.00 2072032  169556   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:46:22 PM  1002     10730   40.00    4.00    0.00    0.00   44.00    12  12686.00      0.00 9172940  802720   2.47  python3
12:46:22 PM  1002     13145    3.00    0.00    0.00    0.00    3.00     6   1995.00      0.00 2072032  169556   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:46:23 PM  1002     10730   49.00    1.00    0.00    0.00   50.00    12  14726.00      0.00 9172940  802820   2.47  python3
12:46:23 PM  1002     13145    2.00    1.00    0.00    0.00    3.00     8   1995.00      0.00 2072032  169556   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:46:24 PM  1002     10730   54.00    2.00    0.00    0.00   56.00    12  14726.00      0.00 9179060  809040   2.49  python3
12:46:24 PM  1002     13145    1.00    1.00    0.00    0.00    2.00    12   1995.00      0.00 2072032  169556   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:46:25 PM  1002     10730   54.00    4.00    0.00    0.00   58.00     8  17244.00      0.00 9179060  808832   2.49  python3
12:46:25 PM  1002     13145    2.00    1.00    0.00    0.00    3.00    14   1995.00      0.00 2072032  169556   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:46:26 PM  1002     10730   52.00    2.00    0.00    0.00   54.00     8  17244.00      0.00 9179060  808624   2.49  python3
12:46:26 PM  1002     13145    3.00    1.00    0.00    0.00    4.00    14   1995.00      0.00 2072032  169556   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:46:27 PM  1002     10730   63.00    3.00    0.00    0.00   66.00     8  13197.00      0.00 9172940  802416   2.47  python3
12:46:27 PM  1002     13145    2.00    1.00    0.00    0.00    3.00    21   1995.00      0.00 2072032  169556   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:46:28 PM  1002     10730   50.00    4.00    0.00    0.00   54.00     8  14726.00      0.00 9187220  816800   2.51  python3
12:46:28 PM  1002     13145    2.00    1.00    0.00    0.00    3.00     6   1995.00      0.00 2072032  169556   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:46:29 PM  1002     10730   53.00    2.00    0.00    0.00   55.00     8   8989.00      0.00 9187220  816800   2.51  python3
12:46:29 PM  1002     13145    1.00    2.00    0.00    0.00    3.00     6   1995.00      0.00 2072032  169556   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:46:30 PM  1002     10730   53.00    3.00    0.00    0.00   56.00     8   7331.00      0.00 9200480  830512   2.56  python3
12:46:30 PM  1002     13145    2.00    1.00    0.00    0.00    3.00    16   1997.00      0.00 2072032  169560   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:46:31 PM  1002     10730   50.00    5.00    0.00    0.00   55.00     8  13706.00      0.00 9172940  802840   2.47  python3
12:46:31 PM  1002     13145    2.00    1.00    0.00    0.00    3.00     2   1995.00      0.00 2072032  169564   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:46:32 PM  1002     10730   50.00    6.00    0.00    0.00   56.00    10  14758.00      0.00 9172772  802428   2.47  python3
12:46:32 PM  1002     13145    4.00    0.00    0.00    0.00    4.00     2   1995.00      0.00 2072032  169564   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:46:33 PM  1002     10730   36.00    5.00    0.00    0.00   41.00     8  14726.00      0.00 9170072  799808   2.46  python3
12:46:33 PM  1002     13145    2.00    1.00    0.00    0.00    3.00     8   1995.00      0.00 2072032  169564   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:46:34 PM  1002     10730   54.00    3.00    0.00    0.00   57.00    14  18872.00      0.00 9187220  817064   2.52  python3
12:46:34 PM  1002     13145    0.00    2.00    0.00    0.00    2.00     6   1995.00      0.00 2072032  169564   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
12:46:35 PM  1002     10730   72.00    0.00    0.00    0.00   72.00     8  11160.00      0.00 9199588  828848   2.55  python3
12:46:35 PM  1002     13145    3.00    0.00    0.00    0.00    3.00     2   1995.00      0.00 2072032  169564   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
