elapsed_time_s,wall_time,wall_time_unix_s,source_timestamp_s,source_clock_s,latitude_deg,longitude_deg,altitude_msl_m,relative_altitude_m,gps_local_east_m,gps_local_north_m,local_x_east_m,local_y_north_m,local_z_up_m,ground_speed_mps,vertical_speed_up_mps,heading_deg,source_topic
52.889662,2026-09-01T20:07:37.990896+00:00,1788293257.990896225,1788293257.236501932,1788293257.208511114,6.077314377,80.190765381,3.109999895,3.105999947,0.844558792,-6.380554878,0.830199122,-6.456492901,3.099999905,0.333649304,-0.000732214,172.965934,/ap/v1/navsat
56.401282,2026-09-01T20:07:41.502516+00:00,1788293261.502516270,1788293260.636358976,1788293260.564383030,6.077303410,80.190765381,3.109999895,3.105000019,0.844558792,-7.593387623,0.974100351,-7.636472702,3.099999905,0.330618193,-0.000994499,172.967627,/ap/v1/navsat
56.779729,2026-09-01T20:07:41.880963+00:00,1788293261.880963087,1788293261.037224054,1788293260.981242895,6.077302456,80.190765381,3.109999895,3.105000019,0.844558792,-7.698851340,0.996238947,-7.770055294,3.099999905,0.332019400,-0.000980235,172.967779,/ap/v1/navsat
58.450835,2026-09-01T20:07:43.552070+00:00,1788293263.552069664,1788293262.638685942,1788293262.614694118,6.077297211,80.190765381,3.109999895,3.105000019,0.844558792,-8.278901783,1.062654972,-8.270990372,3.099999905,0.329931317,-0.001025635,172.968020,/ap/v1/navsat
65.883361,2026-09-01T20:07:50.984596+00:00,1788293270.984595537,1788293269.838265896,1788293269.784284115,6.077274799,80.190765381,3.099999905,3.101000071,0.844558792,-10.757299132,1.372596025,-10.831323624,3.099999905,0.334181474,0.000649194,172.967162,/ap/v1/navsat
66.496695,2026-09-01T20:07:51.597929+00:00,1788293271.597929478,1788293270.436064959,1788293270.391079903,6.077272892,80.190765381,3.109999895,3.101000071,0.844558792,-10.968226566,1.394734621,-11.042829514,3.099999905,0.337976944,0.000701960,172.966840,/ap/v1/navsat
67.536015,2026-09-01T20:07:52.637249+00:00,1788293272.637249470,1788293271.438728094,1788293271.191811085,6.077269554,80.190773010,3.109999895,3.101999998,1.689117584,-11.337349576,1.439011931,-11.410181999,3.099999905,0.334969747,-0.000192291,172.967519,/ap/v1/navsat
69.984713,2026-09-01T20:07:55.085948+00:00,1788293275.085948467,1788293273.818928003,1788293273.761946917,6.077262402,80.190773010,3.099999905,3.101999998,1.689117584,-12.128327453,1.538635850,-12.178281784,3.099999905,0.334950512,-0.001302540,172.968678,/ap/v1/navsat
74.135428,2026-09-01T20:07:59.236663+00:00,1788293279.236662865,1788293277.838577032,1788293277.796591043,6.077250004,80.190773010,3.099999905,3.099999905,1.689117584,-13.499355774,1.704675674,-13.558635712,3.099999905,0.336883331,0.000190639,172.967696,/ap/v1/navsat
74.331022,2026-09-01T20:07:59.432257+00:00,1788293279.432256699,1788293278.037509918,1788293277.951539040,6.077249050,80.190773010,3.099999905,3.099999905,1.689117584,-13.604819491,1.726814270,-13.703350067,3.099999905,0.334571045,0.000186443,172.967677,/ap/v1/navsat
