elapsed_time_s,wall_time,wall_time_unix_s,source_timestamp_s,source_clock_s,message_type,topic,sequence_number,sysid,compid,interarrival_ms
35.739236,2026-09-01T20:53:07.403420+00:00,1788295987.403419971,,1788295985.526654005,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,535.377
36.243206,2026-09-01T20:53:07.907392+00:00,1788295987.907392025,,1788295986.193429947,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,503.965
36.748944,2026-09-01T20:53:08.413129+00:00,1788295988.413128853,,1788295986.717253923,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,505.742
37.250849,2026-09-01T20:53:08.915034+00:00,1788295988.915033579,,1788295987.125117064,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,501.906
37.798416,2026-09-01T20:53:09.462602+00:00,1788295989.462602377,,1788295987.731913090,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,547.563
38.290399,2026-09-01T20:53:09.954585+00:00,1788295989.954584837,,1788295988.235743046,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,491.986
38.807077,2026-09-01T20:53:10.471262+00:00,1788295990.471262455,,1788295988.701586962,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,516.676
39.311444,2026-09-01T20:53:10.975630+00:00,1788295990.975629807,,1788295989.129442930,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,504.366
39.860635,2026-09-01T20:53:11.524819+00:00,1788295991.524819374,,1788295989.739238024,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,549.189
40.368192,2026-09-01T20:53:12.032378+00:00,1788295992.032378197,,1788295990.242069006,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,507.562
40.872329,2026-09-01T20:53:12.536515+00:00,1788295992.536514521,,1788295990.661927938,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,504.139
41.406036,2026-09-01T20:53:13.070222+00:00,1788295993.070221663,,1788295991.233736038,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,533.698
41.921780,2026-09-01T20:53:13.585966+00:00,1788295993.585965872,,1788295991.721571922,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,515.748
42.421214,2026-09-01T20:53:14.085400+00:00,1788295994.085400343,,1788295992.212407112,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,499.437
42.960986,2026-09-01T20:53:14.625171+00:00,1788295994.625170708,,1788295992.736231089,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,539.773
43.449009,2026-09-01T20:53:15.113195+00:00,1788295995.113194704,,1788295993.176083088,MAVLINK_GLOBAL_POSITION_INT_BRIDGE_REL_ALT,/uav1/rel_alt,,1,,488.020
