label,arrival_time_s,gap_from_prev_ms
c0_mission_baseline,1785873249.155777,372.13
c0_mission_baseline,1785873249.802453,646.68
c0_mission_baseline,1785873250.354002,551.55
c0_mission_baseline,1785873250.590317,236.31
c0_mission_baseline,1785873251.035490,445.17
c0_mission_baseline,1785873251.648667,613.18
c0_mission_baseline,1785873251.865988,217.32
c0_mission_baseline,1785873252.018150,152.16
c0_mission_baseline,1785873254.171661,2153.51
c0_mission_baseline,1785873255.198104,1026.44
c0_mission_baseline,1785873255.667973,469.87
c0_mission_baseline,1785873256.228496,560.52
c0_mission_baseline,1785873256.623503,395.01
c0_mission_baseline,1785873256.804131,180.63
