time_s,raw_score_array
21.834530,"[1.0, 0.9964978098869324, 1.0, 40.88486862182617, -53.11513137817383, 1.0, 0.9824889302253723, 1.0, 2.0, 0.8433806896209717, 1.0, 16.600988388061523, -77.39900970458984, 1.0, 0.9798924326896667, 0.8139229416847229, 3.0, 0.9965246915817261, 1.0, 33.88296890258789, -60.11703109741211, 1.0, 0.9826233386993408, 1.0]"
23.834587,"[1.0, 0.9973704218864441, 1.0, 42.34586715698242, -51.65413284301758, 1.0, 0.9868520498275757, 1.0, 2.0, 0.8863722681999207, 1.0, 20.86945152282715, -73.13054656982422, 1.0, 0.9816457629203796, 0.8134859800338745, 3.0, 0.9604775905609131, 1.0, 26.27579116821289, -67.72420501708984, 1.0, 0.9885982871055603, 1.0]"
25.834666,"[1.0, 0.9976053833961487, 1.0, 38.24687576293945, -55.75312423706055, 1.0, 0.9880267977714539, 1.0, 2.0, 0.8547135591506958, 1.0, 17.55558204650879, -76.44441986083984, 1.0, 0.9898157119750977, 0.8119462728500366, 3.0, 0.9967004656791687, 1.0, 30.83719825744629, -63.162803649902344, 1.0, 0.9835023283958435, 1.0]"
27.834458,"[1.0, 0.9982494711875916, 1.0, 41.60576629638672, -52.39423370361328, 1.0, 0.9912472367286682, 1.0, 2.0, 0.8446228504180908, 1.0, 16.48391342163086, -77.5160903930664, 1.0, 0.9935132265090942, 0.8108108639717102, 3.0, 0.9346891641616821, 1.0, 23.673477172851562, -70.32652282714844, 1.0, 0.9897719621658325, 1.0]"
29.834655,"[1.0, 0.9944981932640076, 1.0, 36.754371643066406, -57.245628356933594, 1.0, 0.9724909067153931, 1.0, 2.0, 0.8888407349586487, 1.0, 21.29118537902832, -72.70881652832031, 1.0, 0.9736642241477966, 0.8119601607322693, 3.0, 0.9606599807739258, 1.0, 26.462543487548828, -67.5374526977539, 1.0, 0.9801728129386902, 1.0]"
31.834750,"[1.0, 0.9967755675315857, 1.0, 40.75081253051758, -53.24918746948242, 1.0, 0.9838777184486389, 1.0, 2.0, 0.8696306943893433, 1.0, 19.071205139160156, -74.92879486083984, 1.0, 0.9874455332756042, 0.8142951130867004, 3.0, 0.9978525042533875, 1.0, 30.3579044342041, -63.64209747314453, 1.0, 0.9892625212669373, 1.0]"
33.834827,"[1.0, 0.9962909817695618, 1.0, 34.39360427856445, -59.60639572143555, 1.0, 0.9814547896385193, 1.0, 2.0, 0.8152393102645874, 1.0, 13.621962547302246, -80.37803649902344, 1.0, 0.9870918989181519, 0.8160130977630615, 3.0, 0.9974362850189209, 1.0, 33.8597297668457, -60.1402702331543, 1.0, 0.9871814250946045, 1.0]"
35.834583,"[1.0, 0.9923343062400818, 1.0, 34.213035583496094, -59.786964416503906, 1.0, 0.9616715312004089, 1.0, 2.0, 0.5768769383430481, 0.0, -10.79416275024414, -104.79415893554688, 1.0, 0.9764916896820068, 0.8157860636711121, 3.0, 0.9937723875045776, 1.0, 32.21022415161133, -61.78977584838867, 1.0, 0.9688618183135986, 1.0]"
37.834551,"[1.0, 0.9957338571548462, 1.0, 41.43061447143555, -52.56938552856445, 1.0, 0.9786693453788757, 1.0, 2.0, 0.8693547248840332, 1.0, 19.733055114746094, -74.2669448852539, 0.9824580550193787, 0.9788988828659058, 0.8150700926780701, 3.0, 0.9909388422966003, 1.0, 36.45398712158203, -57.54601287841797, 0.9824580550193787, 0.9810070395469666, 1.0]"
39.834599,"[1.0, 0.9977648854255676, 1.0, 35.88368225097656, -58.11631774902344, 1.0, 0.9888245463371277, 1.0, 2.0, 0.8295111656188965, 1.0, 14.972871780395508, -79.02713012695312, 1.0, 0.9918493628501892, 0.8141257166862488, 3.0, 0.9864119291305542, 1.0, 28.84711265563965, -65.15288543701172, 1.0, 0.9897040128707886, 1.0]"
41.834678,"[1.0, 0.9930849075317383, 1.0, 41.56378936767578, -52.43621063232422, 1.0, 0.965424656867981, 1.0, 2.0, 0.8438621759414673, 1.0, 16.68825912475586, -77.31173706054688, 1.0, 0.9775054454803467, 0.8147850036621094, 3.0, 0.9850580096244812, 1.0, 29.073867797851562, -64.92613220214844, 1.0, 0.9715966582298279, 1.0]"
43.834608,"[1.0, 0.997269332408905, 1.0, 35.66108322143555, -58.33891677856445, 1.0, 0.9863467812538147, 1.0, 2.0, 0.8169317841529846, 1.0, 13.730080604553223, -80.2699203491211, 1.0, 0.9903446435928345, 0.815620481967926, 3.0, 0.9984418749809265, 1.0, 32.48957824707031, -61.51042175292969, 1.0, 0.992209255695343, 1.0]"
45.834552,"[1.0, 0.99830162525177, 1.0, 42.01949691772461, -51.98050308227539, 1.0, 0.9915080666542053, 1.0, 2.0, 0.8130697011947632, 1.0, 13.460116386413574, -80.53988647460938, 1.0, 0.9851924777030945, 0.8143006563186646, 3.0, 0.9980756640434265, 1.0, 34.314781188964844, -59.685218811035156, 1.0, 0.9903783798217773, 1.0]"
