time_s,node_id,x_m,y_m,z_m
3.300116,3,-38.06612014770508,-32.87998962402344,49.95222473144531
3.400073,0,-70.0,-7.0,2.9000000953674316
3.400073,1,-45.878414154052734,-18.455446243286133,60.01151657104492
3.400073,2,-45.990482330322266,-19.422866821289062,40.08030319213867
3.400073,3,-37.17328643798828,-33.33443069458008,49.945167541503906
3.501530,0,-70.0,-7.0,2.9000000953674316
3.501530,1,-44.851924896240234,-18.308284759521484,60.02370071411133
3.501530,2,-44.986209869384766,-19.11353874206543,40.09492492675781
3.501530,3,-36.27703094482422,-33.783756256103516,49.939109802246094
3.600471,0,-70.0,-7.0,2.9000000953674316
3.600471,1,-44.33949661254883,-18.23699188232422,60.03078079223633
3.600471,2,-44.486610412597656,-18.9569091796875,40.10186004638672
3.600471,3,-35.82822799682617,-34.00821304321289,49.935401916503906
3.700231,0,-70.0,-7.0,2.9000000953674316
3.700231,1,-43.318058013916016,-18.09166717529297,60.043548583984375
3.700231,2,-43.489986419677734,-18.65104866027832,40.11471939086914
3.700231,3,-34.930824279785156,-34.459129333496094,49.92721176147461
3.800165,0,-70.0,-7.0,2.9000000953674316
3.800165,1,-42.301536560058594,-17.95457649230957,60.05290985107422
3.800165,2,-42.49747848510742,-18.352163314819336,40.125404357910156
3.800165,3,-34.02935791015625,-34.908905029296875,49.92023468017578
3.900332,0,-70.0,-7.0,2.9000000953674316
3.900332,1,-41.29090118408203,-17.81652069091797,60.059051513671875
3.900332,2,-41.5125846862793,-18.049560546875,40.131465911865234
3.900332,3,-33.12329864501953,-35.35692596435547,49.91518020629883
3.999995,0,-70.0,-7.0,2.9000000953674316
3.999995,1,-40.28213119506836,-17.68085479736328,60.061492919921875
3.999995,2,-40.53238296508789,-17.75218963623047,40.13568878173828
3.999995,3,-32.21656036376953,-35.80821990966797,49.910274505615234
4.099945,0,-70.0,-7.0,2.9000000953674316
4.099945,1,-39.27465057373047,-17.55054473876953,60.059906005859375
4.099945,2,-39.5550422668457,-17.46196746826172,40.137062072753906
4.099945,3,-31.307018280029297,-36.26266860961914,49.905086517333984
4.200100,0,-70.0,-7.0,2.9000000953674316
4.200100,1,-38.26886749267578,-17.414634704589844,60.055110931396484
4.200100,2,-38.582176208496094,-17.171470642089844,40.13534164428711
4.200100,3,-30.391098022460938,-36.71560287475586,49.89986801147461
4.300121,0,-70.0,-7.0,2.9000000953674316
4.300121,1,-37.26435470581055,-17.28177833557129,60.05106735229492
4.300121,2,-37.61550521850586,-16.880165100097656,40.13429641723633
4.300121,3,-29.468868255615234,-37.16612243652344,49.896671295166016
4.399930,0,-70.0,-7.0,2.9000000953674316
4.399930,1,-36.25947570800781,-17.14821434020996,60.043209075927734
4.399930,2,-36.65096664428711,-16.592510223388672,40.13112258911133
4.399930,3,-28.541908264160156,-37.61781692504883,49.894989013671875
4.500053,0,-70.0,-7.0,2.9000000953674316
4.500053,1,-35.25416564941406,-17.00999641418457,60.033878326416016
4.500053,2,-35.68879318237305,-16.301502227783203,40.12614822387695
4.500053,3,-27.612558364868164,-38.072940826416016,49.89400863647461
4.599803,0,-70.0,-7.0,2.9000000953674316
4.599803,1,-34.24913024902344,-16.87632942199707,60.027347564697266
4.599803,2,-34.72871398925781,-16.0034236907959,40.120582580566406
4.599803,3,-26.680370330810547,-38.52970886230469,49.89680480957031
4.701130,0,-70.0,-7.0,2.9000000953674316
4.701130,1,-33.24251174926758,-16.737693786621094,60.02106857299805
4.701130,2,-33.766197204589844,-15.704833984375,40.114837646484375
4.701130,3,-25.746192932128906,-38.98626708984375,49.90058898925781
4.799974,0,-70.0,-7.0,2.9000000953674316
4.799974,1,-32.73821258544922,-16.670185089111328,60.01808166503906
4.799974,2,-33.285640716552734,-15.55293083190918,40.11201858520508
4.799974,3,-25.27815818786621,-39.214332580566406,49.90240478515625
4.899881,0,-70.0,-7.0,2.9000000953674316
4.899881,1,-31.729215621948242,-16.528844833374023,60.01242446899414
4.899881,2,-32.32181930541992,-15.252554893493652,40.10595703125
4.899881,3,-24.342525482177734,-39.67403793334961,49.906227111816406
5.000093,0,-70.0,-7.0,2.9000000953674316
5.000093,1,-30.717012405395508,-16.39004135131836,60.00542068481445
5.000093,2,-31.356185913085938,-14.949819564819336,40.09971618652344
5.000093,3,-23.404264450073242,-40.13142013549805,49.909427642822266
5.099886,0,-70.0,-7.0,2.9000000953674316
5.099886,1,-29.70236587524414,-16.245874404907227,59.99894714355469
5.099886,2,-30.389266967773438,-14.637666702270508,40.0925407409668
5.099886,3,-22.466859817504883,-40.58977127075195,49.91337203979492
5.199960,0,-70.0,-7.0,2.9000000953674316
5.199960,1,-28.684579849243164,-16.107666015625,59.99116134643555
5.199960,2,-29.419315338134766,-14.324241638183594,40.0850944519043
5.199960,3,-21.530054092407227,-41.05070114135742,49.91725158691406
5.299902,0,-70.0,-7.0,2.9000000953674316
