Linux 5.15.0-186-generic (lenovo) 	08/27/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:17:54 PM  1002     75454    3.00    1.00    0.00    0.00    4.00    10   1995.00      0.00 1872036  175104   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:17:55 PM  1002     75308   52.00    1.00    0.00    0.00   53.00    10  19328.00      0.00 9201056  828528   2.55  python3
07:17:55 PM  1002     75454    4.00    1.00    0.00    0.00    5.00    10    676.00      0.00 1866468  170092   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:17:56 PM  1002     75308   56.00    2.00    0.00    0.00   58.00     8  14599.00      0.00 9198356  825896   2.54  python3
07:17:56 PM  1002     75454    4.00    1.00    0.00    0.00    5.00     0   3314.00      0.00 1872036  175104   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:17:57 PM  1002     75308   53.00    7.00    0.00    0.00   60.00     8  17919.00      0.00 9201056  828640   2.55  python3
07:17:57 PM  1002     75454    3.00    1.00    0.00    0.00    4.00     0    676.00      0.00 1866468  170092   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:17:58 PM  1002     75308   50.00    1.00    0.00    0.00   51.00     8  14727.00      0.00 9198356  826060   2.54  python3
07:17:58 PM  1002     75454    2.00    2.00    0.00    0.00    4.00     2   1995.00      0.00 1866468  170092   0.52  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:17:59 PM  1002     75308   47.00    3.00    0.00    0.00   50.00     8  14381.00      0.00 9201056  828688   2.55  python3
07:17:59 PM  1002     75454    4.00    0.00    0.00    0.00    4.00    14   3314.00      0.00 1872036  175104   0.54  python3

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
07:18:00 PM  1002     75308   52.00    8.00    0.00    0.00   60.00    10  14730.00      0.00 9198356  826492   2.54  python3
